  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.745822152920e-02  ,2.254093581640e-07  ,1.000000000000e-01  ,4.990957726420e-02  
  1.749846688625e-02  ,2.259289692965e-07  ,1.000000000000e-01  ,5.002462784467e-02  
  1.753880501842e-02  ,2.264497781858e-07  ,1.000000000000e-01  ,5.013994362417e-02  
  1.757923613959e-02  ,2.269717875870e-07  ,1.000000000000e-01  ,5.025552521391e-02  
  1.761976046412e-02  ,2.274950002654e-07  ,1.000000000000e-01  ,5.037137322652e-02  
  1.766037820686e-02  ,2.280194190006e-07  ,1.000000000000e-01  ,5.048748827601e-02  
  1.770108958317e-02  ,2.285450465684e-07  ,1.000000000000e-01  ,5.060387097783e-02  
  1.774189480890e-02  ,2.290718857413e-07  ,1.000000000000e-01  ,5.072052194884e-02  
  1.778279410039e-02  ,2.295999393264e-07  ,1.000000000000e-01  ,5.083744180732e-02  
  1.782378767448e-02  ,2.301292101171e-07  ,1.000000000000e-01  ,5.095463117297e-02  
  1.786487574852e-02  ,2.306597009274e-07  ,1.000000000000e-01  ,5.107209066694e-02  
  1.790605854035e-02  ,2.311914145679e-07  ,1.000000000000e-01  ,5.118982091178e-02  
  1.794733626833e-02  ,2.317243538459e-07  ,1.000000000000e-01  ,5.130782253149e-02  
  1.798870915129e-02  ,2.322585215961e-07  ,1.000000000000e-01  ,5.142609615151e-02  
  1.803017740860e-02  ,2.327939206502e-07  ,1.000000000000e-01  ,5.154464239871e-02  
  1.807174126011e-02  ,2.333305538361e-07  ,1.000000000000e-01  ,5.166346190142e-02  
  1.811340092620e-02  ,2.338684240094e-07  ,1.000000000000e-01  ,5.178255528939e-02  
  1.815515662773e-02  ,2.344075339949e-07  ,1.000000000000e-01  ,5.190192319386e-02  
  1.819700858610e-02  ,2.349478867001e-07  ,1.000000000000e-01  ,5.202156624749e-02  
  1.823895702320e-02  ,2.354894849497e-07  ,1.000000000000e-01  ,5.214148508441e-02  
  1.828100216143e-02  ,2.360323316238e-07  ,1.000000000000e-01  ,5.226168034022e-02  
  1.832314422371e-02  ,2.365764296057e-07  ,1.000000000000e-01  ,5.238215265196e-02  
  1.836538343348e-02  ,2.371217817652e-07  ,1.000000000000e-01  ,5.250290265817e-02  
  1.840772001469e-02  ,2.376683910101e-07  ,1.000000000000e-01  ,5.262393099882e-02  
  1.845015419179e-02  ,2.382162602309e-07  ,1.000000000000e-01  ,5.274523831540e-02  
  1.849268618978e-02  ,2.387653923318e-07  ,1.000000000000e-01  ,5.286682525085e-02  
  1.853531623415e-02  ,2.393157902103e-07  ,1.000000000000e-01  ,5.298869244958e-02  
  1.857804455092e-02  ,2.398674568020e-07  ,1.000000000000e-01  ,5.311084055752e-02  
  1.862087136663e-02  ,2.404203950355e-07  ,1.000000000000e-01  ,5.323327022206e-02  
  1.866379690835e-02  ,2.409746078185e-07  ,1.000000000000e-01  ,5.335598209208e-02  
  1.870682140366e-02  ,2.415300981077e-07  ,1.000000000000e-01  ,5.347897681798e-02  
  1.874994508067e-02  ,2.420868688211e-07  ,1.000000000000e-01  ,5.360225505164e-02  
  1.879316816803e-02  ,2.426449229498e-07  ,1.000000000000e-01  ,5.372581744644e-02  
  1.883649089490e-02  ,2.432042634225e-07  ,1.000000000000e-01  ,5.384966465727e-02  
  1.887991349096e-02  ,2.437648932131e-07  ,1.000000000000e-01  ,5.397379734052e-02  
  1.892343618645e-02  ,2.443268152986e-07  ,1.000000000000e-01  ,5.409821615412e-02  
  1.896705921211e-02  ,2.448900326425e-07  ,1.000000000000e-01  ,5.422292175747e-02  
  1.901078279923e-02  ,2.454545482394e-07  ,1.000000000000e-01  ,5.434791481153e-02  
  1.905460717963e-02  ,2.460203650768e-07  ,1.000000000000e-01  ,5.447319597876e-02  
  1.909853258566e-02  ,2.465874861634e-07  ,1.000000000000e-01  ,5.459876592315e-02  
  1.914255925021e-02  ,2.471559145005e-07  ,1.000000000000e-01  ,5.472462531023e-02  
  1.918668740670e-02  ,2.477256531071e-07  ,1.000000000000e-01  ,5.485077480705e-02  
  1.923091728910e-02  ,2.482967049847e-07  ,1.000000000000e-01  ,5.497721508220e-02  
  1.927524913191e-02  ,2.488690731765e-07  ,1.000000000000e-01  ,5.510394680581e-02  
  1.931968317017e-02  ,2.494427607049e-07  ,1.000000000000e-01  ,5.523097064956e-02  
  1.936421963947e-02  ,2.500177706165e-07  ,1.000000000000e-01  ,5.535828728666e-02  
